,Title,LCCN,Start_Date,End_Date,Town,State,LatLong,X1880_Population
1292,Weekly graphic.,sn89066097,1880-05-01,1896-12-25,Kirksville,Missouri,"40.1947539, -92.5832496",NA
1293,The weekly intelligencer.,sn93060416,1891-02-21,4/6/1901,Lexington,Missouri,"39.1847339, -93.8799426",NA
1294,The weekly tribune and the Cape County herald.,sn89066617,11/6/1914,10/17/1918,Cape Girardeau,Missouri,"37.3058839, -89.5181476",NA
1295,The weekly tribune.,sn89066618,10/25/1918,12/25/1918,Cape Girardeau,Missouri,"37.3058839, -89.5181476",NA
1296,Western union.,sn87091068,1850-10-10,1851-08-28,City of Hannibal,Missouri,"39.7083789, -91.3584816",NA
1297,World's cresset.,sn93060090,7/2/1903,12/26/1918,JAH-ville,Missouri,"37.9642529, -91.8318334",NA
1298,The Anaconda standard.,sn84036012,1889-09-04,1899-12-31,Anaconda,Montana,"46.1262998, -112.9478359",NA
1299,The avant courier.,sn86075114,1871-09-13,1872-07-25,Bozeman,Montana,"45.6769979, -111.0429339",NA
1300,The Benton record.,sn84038126,1875-02-01,1879-12-26,Benton,Montana,"47.8344143, -110.6582699",NA
1301,The Benton weekly record.,sn85053148,1880-01-02,1884-05-10,Benton,Montana,"47.8344143, -110.6582699",NA
1302,The Billings gazette.,sn84036008,1899-01-03,12/31/1909,Billings,Montana,"45.7832856, -108.5006904",NA
1303,The Billings herald.,sn84036001,1882-06-01,1885-05-02,Billings,Montana,"45.7832856, -108.5006904",NA
1304,Bozeman avant courier.,sn84038123,1872-07-30,1879-12-25,Bozeman,Montana,"45.6769979, -111.0429339",NA
1305,The Bozeman weekly chronicle.,sn86075108,1883-05-16,1888-12-26,Bozeman,Montana,"45.6769979, -111.0429339",NA
1306,The Broadus independent.,sn84036255,4/10/1919,5/24/1919,Broadus,Montana,"45.4438809, -105.4074903",NA
1307,The Butte daily bulletin.,sn83045085,1/16/1919,12/31/1920,Butte,Montana,"46.0038232, -112.5347775",NA
1308,The Butte daily miner.,sn85053095,1886-01-01,1889-01-01,Butte,Montana,"46.0038232, -112.5347775",NA
1309,The Butte daily post.,sn85053058,1/1/1917,12/31/1917,Butte,Montana,"46.0038232, -112.5347775",NA
1310,The Butte inter mountain.,sn83025294,5/2/1901,12/31/1903,Butte,Montana,"46.0038232, -112.5347775",NA
1311,Butte semi-weekly miner.,sn84036034,1886-04-17,1889-12-28,Butte,Montana,"46.0038232, -112.5347775",NA
1312,The Colored citizen.,sn84036198,1894-09-03,1894-11-05,Helena,Montana,"46.5891452, -112.0391057",NA
1313,Cut Bank pioneer press.,sn85053109,12/16/1910,4/27/1917,Cut Bank,Montana,"48.6330395, -112.3261618",NA
1314,The daily enterprise.,sn85053382,1883-06-04,1884-11-08,Livingston,Montana,"45.6614105, -110.5599556",NA
1315,The Daily gazette.,sn85053069,1894-07-01,1894-07-01,Billings,Montana,"45.7832856, -108.5006904",NA
1316,Daily inter mountain.,sn85053057,1899-01-02,5/1/1901,Butte,Montana,"46.0038232, -112.5347775",NA
1317,The daily miner.,sn85053094,1882-01-01,1882-01-01,Butte,Montana,"46.0038232, -112.5347775",NA
1318,The Daily Missoulian.,sn83025316,1/1/1909,4/30/1918,Missoula,Montana,"46.8721284, -113.9940314",NA
1319,Daily Yellowstone journal.,sn86075021,1882-10-18,1893-01-17,Miles City,Montana,"46.4083362, -105.8405582",NA
1320,The Dillon tribune.,sn85053040,1881-02-19,1887-12-16,Dillon,Montana,"45.2166324, -112.6389244",NA
1321,The Dupuyer acantha.,sn84036266,1894-09-15,12/26/1901,Dupuyer,Montana,"48.1916399, -112.4995702",NA
1322,The Ekalaka eagle.,sn85053090,4/2/1909,12/29/1916,Ekalaka,Montana,"45.8888869, -104.5527299",NA
1323,The enterprise.,sn83025323,1/22/1908,12/28/1916,Harlem,Montana,"48.5333309, -108.7840463",NA
1324,Fergus County argus.,sn84036228,1886-08-05,12/28/1906,Lewistown,Montana,"47.0624732, -109.428238",NA
1325,Fergus County Democrat.,sn84036220,8/23/1904,12/28/1916,Lewistown,Montana,"47.0624732, -109.428238",NA
1326,The Glasgow courier.,sn85042379,1/1/1915,12/29/1922,Glasgow,Montana,"48.1969637, -106.6367127",NA
1327,Great Falls daily tribune.,sn84024808,1/1/1919,1/10/1921,Great Falls,Montana,"47.5052849, -111.3007715",NA
1328,The Great Falls leader.,sn86075268,1888-06-16,1888-10-20,Great Falls,Montana,"47.5052849, -111.3007715",NA
1329,The Great Falls leader.,sn86075267,1888-10-21,1889-12-31,Great Falls,Montana,"47.5052849, -111.3007715",NA
1330,Great Falls tribune.,sn86075238,1885-05-14,1890-01-11,Great Falls,Montana,"47.5052849, -111.3007715",NA
1331,Great Falls tribune.,sn86075239,1887-05-18,1890-01-11,Great Falls,Montana,"47.5052849, -111.3007715",NA
1332,Great Falls tribune.,sn83045217,1/11/1921,12/31/1922,Great Falls,Montana,"47.5052849, -111.3007715",NA
1333,Great Falls weekly tribune.,sn86075243,1894-11-30,1896-12-25,Great Falls,Montana,"47.5052849, -111.3007715",NA
1334,The Harlowton news.,sn85053181,2/5/1909,1/16/1914,Harlowton,Montana,"46.435512, -109.8343499",NA
1335,The Havre herald.,sn84036162,7/6/1904,10/7/1908,Havre,Montana,"48.549999, -109.6840887",NA
1336,The Helena independent.,sn83025308,1889-01-01,1894-12-31,Helena,Montana,"46.5891452, -112.0391057",NA
1337,Helena weekly herald.,sn84036143,1870-10-27,1889-12-26,Helena,Montana,"46.5891452, -112.0391057",NA
1338,Inverness news.,sn84036288,9/7/1918,9/7/1918,Inverness,Montana,"48.5573771, -110.6905834",NA
1339,Judith Gap journal.,sn83025313,12/11/1908,12/26/1913,Judith Gap,Montana,"46.6771784, -109.7518501",NA
1340,The Kalispell bee.,sn85053328,3/1/1901,8/31/1901,Kalispell,Montana,"48.1919889, -114.316813",NA
1341,The Kalispell bee.,sn85053327,6/15/1900,12/29/1903,Kalispell,Montana,"48.1919889, -114.316813",NA
1342,The Libby herald.,sn85053292,8/17/1911,8/29/1913,Libby,Montana,"48.3882861, -115.5559988",NA
1343,The Livingston enterprise.,sn86075261,1884-11-01,1/1/1900,Livingston,Montana,"45.6614105, -110.5599556",NA
1344,The Madisonian.,sn86091484,1895-01-05,1896-12-26,Virginia City,Montana,"45.2938143, -111.9460911",NA
1345,The Mineral argus.,sn84036227,1883-08-09,1886-07-29,Maiden,Montana,"47.1777536, -109.2301728",NA
1346,Montana leader.,sn84036289,9/14/1918,10/12/1918,Great Falls,Montana,"47.5052849, -111.3007715",NA
1347,Montana news.,sn84024811,4/27/1904,1/4/1912,Lewistown,Montana,"47.0624732, -109.428238",NA
1348,The Montana nonpartisan.,sn84036290,10/19/1918,12/20/1919,Great Falls,Montana,"47.5052849, -111.3007715",NA
1349,The Montana plaindealer.,sn84036199,3/16/1906,9/8/1911,Helena,Montana,"46.5891452, -112.0391057",NA
1350,The Montana post.,sn83025293,1864-08-27,1869-06-11,Virginia City,Montana,"45.2938143, -111.9460911",NA
1351,The Neihart herald.,sn85053323,1891-05-29,1/12/1901,Neihart,Montana,"46.9332955, -110.7357707",NA
1352,The new age.,sn84036148,5/30/1902,2/7/1903,Butte,Montana,"46.0038232, -112.5347775",NA
1353,The new North-west.,sn84038125,1869-07-09,1897-04-30,Deer Lodge,Montana,"46.3990941, -112.7383721",NA
1354,The Philipsburg mail.,sn83025320,1887-04-28,12/27/1901,Philipsburg,Montana,"46.332506, -113.2944165",NA
1355,The Powder River County examiner and the Broadus independent.,sn84036256,5/31/1919,11/17/1922,Broadus,Montana,"45.4438809, -105.4074903",NA
1356,The producers news.,sn85053305,4/26/1918,12/29/1922,Plentywood,Montana,"48.773639, -104.5602351",NA
1357,The Ravalli Republican.,sn85053167,1894-08-22,1898-12-28,Stevensville,Montana,"46.5099225, -114.0931588",NA
1358,Red Lodge picket.,sn84036276,1889-12-21,12/26/1902,Red Lodge,Montana,"45.1857782, -109.2468211",NA
1359,The river press.,sn85053157,1880-10-27,12/30/1914,Fort Benton,Montana,"47.8344143, -110.6582699",NA
1360,Rocky Mountain husbandman.,sn83025309,1875-11-25,1884-12-25,Diamond City,Montana,"46.5971602, -111.4238527",NA
1361,The Ronan pioneer.,sn86075298,2/3/1911,12/28/1917,Ronan,Montana,"47.5288233, -114.1015013",NA
1362,Rosebud County news.,sn85053117,2/28/1901,3/15/1906,Forsyth,Montana,"46.2630502, -106.6819793",NA
1363,The roundup record.,sn86075094,4/3/1908,12/26/1913,Roundup,Montana,"46.445242, -108.5417999",NA
1364,The searchlight.,sn85053089,1/1/1909,12/27/1912,Culbertson,Montana,"48.1444646, -104.5168996",NA
1365,The semi-weekly miner.,sn84036033,1882-01-11,1886-04-14,Butte,Montana,"46.0038232, -112.5347775",NA
1366,The semi-weekly tribune.,sn86075241,1890-04-12,1891-02-14,Great Falls,Montana,"47.5052849, -111.3007715",NA
1367,The Suffrage daily news.,sn85053121,9/22/1914,11/2/1914,Helena,Montana,"46.5891452, -112.0391057",NA
1368,Sun River sun.,sn86075197,1884-02-14,1885-04-30,Sun River,Montana,"47.5332871, -111.7213719",NA
1369,The tribune.,sn86075240,1890-01-15,1890-04-09,Great Falls,Montana,"47.5052849, -111.3007715",NA
1370,The weekly chronicle.,sn86075109,1883-02-07,1883-05-09,Bozeman,Montana,"45.6769979, -111.0429339",NA
1371,The weekly miner.,sn84036032,1879-06-10,1881-12-27,Butte,Montana,"46.0038232, -112.5347775",NA
1372,The weekly tribune.,sn86075242,1891-02-21,1894-11-23,Great Falls,Montana,"47.5052849, -111.3007715",NA
1373,The Western news.,sn84036207,1/3/1900,12/30/1910,Stevensville,Montana,"46.5099225, -114.0931588",NA
1374,The Whitefish pilot.,sn86075089,1/3/1908,12/26/1912,Whitefish,Montana,"48.4106373, -114.3352652",NA
1375,The Wibaux pioneer.,sn85053308,1/17/1907,12/25/1914,Wibaux,Montana,"46.9904554, -104.1864623",NA
1376,The Yellowstone journal.,sn86075022,1893-01-18,1894-12-31,Miles City,Montana,"46.4083362, -105.8405582",NA
1377,Yellowstone monitor.,sn86075153,1/2/1908,12/30/1915,Glendive,Montana,"47.106401, -104.7107931",NA
1378,The Alliance herald.,2010270501,2/21/1902,6/30/1922,Alliance,Nebraska,"42.0930235, -102.8702006",NA
1379,The Alliance-independent.,2017270211,1892-06-30,1894-03-08,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1380,The alliance.,2017270208,1889-06-12,1889-12-07,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1381,Bellevue gazette.,sn85033100,1856-10-23,1858-09-02,Bellevue City,Nebraska,"41.1543623, -95.9145568",NA
1382,Capital city courier.,2010270510,1887-12-17,1893-06-11,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1383,Cherry County independent.,sn95069777,1892-12-08,1896-04-02,Valentine,Nebraska,"42.8727833, -100.5509669",NA
1384,The Columbus journal.,sn95073194,1878-08-28,11/9/1911,Columbus,Nebraska,"41.4302973, -97.3593904",NA
1385,The commoner.,46032385,1/23/1901,12/1/1922,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1386,The courier.,sn99066033,1894-03-17,4/4/1903,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1387,Custer County Republican.,sn94055463,1899-03-16,12/29/1910,Broken Bow,Nebraska,"41.401787, -99.6412243",NA
1388,Dakota City herald.,sn84020146,1859-08-13,1860-05-04,Dakota City,Nebraska,"42.4155496, -96.4183637",NA
1389,Dakota County herald.,2010270500,1899-12-02,3/16/1922,Dakota City,Nebraska,"42.4155496, -96.4183637",NA
1390,The Falls City tribune.,sn94056446,1/8/1904,7/24/1908,Falls City,Nebraska,"40.0608352, -95.6019294",NA
1391,The farmers' alliance and Nebraska independent.,2017270210,1892-04-07,1892-06-23,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1392,The farmers' alliance.,2017270209,1889-12-14,1892-03-31,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1393,The huntsman's echo.,sn86091413,1860-06-14,1861-08-01,Wood River,Nebraska,"40.820569, -98.6000704",NA
1394,The independent.,sn88086144,11/6/1902,4/25/1907,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1395,Lincoln County tribune.,2010270502,1885-09-26,1890-08-20,North Platte,Nebraska,"41.1402759, -100.7601454",NA
1396,The Lincoln independent.,2017270203,1895-09-27,1896-01-03,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1397,The McCook tribune.,sn94056415,1885-06-03,5/13/1912,McCook,Nebraska,"40.1966701, -100.6248741",NA
1398,McCook weekly tribune.,sn94056414,1883-09-06,1885-05-28,McCook,Nebraska,"40.1966701, -100.6248741",NA
1399,Nebraska advertiser.,sn84020109,1856-06-07,1882-09-14,Brownville,Nebraska,"40.3977793, -95.6580455",NA
1400,The Nebraska advertiser.,2010270508,1892-06-24,12/25/1908,Nemaha City,Nebraska,"40.3383347, -95.6730453",NA
1401,The Nebraska independent.,2017270205,1896-01-16,10/30/1902,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1402,Nebraska palladium.,sn84020241,1854-07-15,1855-04-11,Bellevieu City,Nebraska,"41.1543623, -95.9145568",NA
1403,Nebraska Staats-Anzeiger.,2017270200,1883-11-02,3/7/1901,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1404,The Norfolk weekly news-journal.,sn95070058,11/23/1900,3/29/1912,Norfolk,Nebraska,"42.0327234, -97.4137553",NA
1405,The Norfolk weekly news.,sn95070060,1899-03-09,11/15/1900,Norfolk,Nebraska,"42.0327234, -97.4137553",NA
1406,The North Platte semi-weekly tribune.,2010270504,1895-01-01,12/29/1922,North Platte,Nebraska,"41.1402759, -100.7601454",NA
1407,The North Platte tribune.,2010270503,1890-10-08,1894-12-26,North Platte,Nebraska,"41.1402759, -100.7601454",NA
1408,Omaha daily bee.,sn99021999,1872-12-31,6/14/1922,Omaha,Nebraska,"41.2565369, -95.9345034",30518
1409,The Omaha morning bee.,sn84024326,4/1/1922,12/3/1922,Omaha,Nebraska,"41.2565369, -95.9345034",30518
1410,Pokrok za������padu.,2017270206,1892-10-21,8/10/1900,Omaha,Nebraska,"41.2565369, -95.9345034",30518
1411,Pokrok za������padu.,sn83045348,1871-09-15,12/29/1920,Omaha,Nebraska,"41.2565369, -95.9345034",30518
1412,The Red Cloud chief.,sn84022835,1873-10-09,12/28/1922,Red Cloud,Nebraska,"40.0890046, -98.5195891",NA
1413,Saturday morning courier.,2010270512,1893-07-08,1894-03-10,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1414,Sunday morning courier.,2010270511,1893-06-18,1893-07-02,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1415,Ta������gliche Omaha Tribu������ne.,sn83045652,10/2/1912,4/30/1920,Omaha,Nebraska,"41.2565369, -95.9345034",30518
1416,Valentine Democrat.,sn95069780,5/3/1900,5/16/1912,Valentine,Nebraska,"42.8727833, -100.5509669",NA
1417,The Valentine Democrat.,sn95069778,1896-04-09,1898-08-25,Valentine,Nebraska,"42.8727833, -100.5509669",NA
1418,The Wageworker.,sn86063459,4/29/1904,1/27/1911,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1419,The Wealth makers of the world.,2017270204,1894-03-15,1896-01-09,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1420,The weekly independent.,2017270213,1895-08-22,1895-09-20,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1421,Western news-Democrat.,sn95069779,1898-09-01,4/26/1900,Valentine,Nebraska,"42.8727833, -100.5509669",NA
1422,Will Maupin's weekly.,2017270207,2/3/1911,10/25/1912,Lincoln,Nebraska,"40.813616, -96.7025955",NA
1423,Carson City daily appeal.,sn86076241,7/10/1907,12/30/1922,Carson City,Nevada,"39.1637984, -119.7674034",NA
1424,Carson daily appeal.,sn86076199,1873-03-11,1877-04-29,Carson City,Nevada,"39.1637984, -119.7674034",NA
1425,The Carson daily appeal.,sn84022040,1866-08-01,1870-10-09,Carson City,Nevada,"39.1637984, -119.7674034",NA
1426,The daily appeal.,sn86076248,5/3/1906,7/8/1907,Carson City,Nevada,"39.1637984, -119.7674034",NA
1427,Daily independent.,sn84020355,1887-01-03,3/29/1915,Elko,Nevada,"40.8324211, -115.7631232",NA
1428,The Daily state register.,sn84020345,1870-12-29,1872-11-30,Carson City,Nevada,"39.1637984, -119.7674034",NA
1429,Elko independent.,sn86076367,3/30/1915,6/21/1921,Elko,Nevada,"40.8324211, -115.7631232",NA
1430,The Elko independent.,sn84022043,1869-06-19,1871-06-17,Elko,Nevada,"40.8324211, -115.7631232",NA
1431,The Ely record.,sn86076215,1872-09-01,1872-09-15,Pioche City,Nevada,"37.9298739, -114.4516203",NA
1432,Gold Hill daily news.,sn84022046,1863-10-12,1882-04-08,Gold Hill,Nevada,"39.2904678, -119.6574011",NA
1433,Lincoln County record.,sn86091347,7/6/1900,12/29/1905,Pioche,Nevada,"37.9298739, -114.4516203",NA
1434,Morning appeal.,sn86076999,1877-05-01,5/2/1906,Carson City,Nevada,"39.1637984, -119.7674034",NA
1435,The new daily appeal.,sn86076182,1872-09-09,1873-03-09,Carson City,Nevada,"39.1637984, -119.7674034",NA
1436,Pioche daily record.,sn84022048,1872-09-17,1876-11-12,Pioche,Nevada,"37.9298739, -114.4516203",NA
1437,The Pioche record.,sn86091349,1/2/1909,12/29/1922,Pioche,Nevada,"37.9298739, -114.4516203",NA
1438," The Pioche tri-weekly record [volume] (Pioche, Nevada) 1876-1876 ",2015270825,1876-11-15,1876-12-31,Pioche,Nevada,"37.9298739, -114.4516203",NA
1439,The Pioche weekly record.,sn86091346,1877-01-06,6/29/1900,Pioche,Nevada,"37.9298739, -114.4516203",NA
1440,The Pioche weekly record.,sn86091348,1/5/1906,12/26/1908,Pioche,Nevada,"37.9298739, -114.4516203",NA
1441,Tonopah bonanza.,sn86076135,6/15/1901,12/25/1909,Butler City,Nevada,"39.1775851, -119.7662493",NA
1442,Tonopah daily bonanza.,sn86076142,10/24/1906,12/30/1922,Tonopah,Nevada,"38.069211, -117.2305861",NA
1443,The Weekly Elko independent.,sn86091341,1875-02-27,1887-01-23,Elko,Nevada,"40.8324211, -115.7631232",NA
1444,Weekly independent.,sn86076366,1887-01-30,12/25/1914,Elko,Nevada,"40.8324211, -115.7631232",NA
1445,The Jersey City news.,sn87068097,1889-02-27,1899-12-30,Jersey City,New Jersey,"40.7177545, -74.0431435",120722
1446,Perth Amboy evening news.,sn85035720,3/30/1903,12/30/1922,Perth Amboy,New Jersey,"40.5067723, -74.2654234",NA
1447,The Sunday morning news.,sn85036014,1891-11-01,1891-12-27,Jersey City,New Jersey,"40.7177545, -74.0431435",120722
1448,Alamogordo news-advertiser.,sn92070564,12/7/1912,6/13/1913,Alamogordo,New Mexico,"32.8995325, -105.960265",NA
1449,The Alamogordo news.,sn92070566,1/4/1900,11/28/1912,Alamogordo,New Mexico,"32.8995325, -105.960265",NA
1450,Albuquerque citizen.,sn84020616,7/26/1907,8/31/1909,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1451,Albuquerque daily citizen.,sn84020613,1898-01-01,6/30/1903,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1452,Albuquerque evening citizen.,sn84020615,7/1/1905,7/25/1907,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1453,Albuquerque evening herald.,sn92070581,3/7/1911,1/26/1914,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1454,The Albuquerque morning journal.,sn86063567,1882-09-01,1884-08-31,New Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1455,Albuquerque morning journal.,sn84031081,10/1/1905,12/31/1922,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1456,Albuquerque weekly citizen.,sn92070464,1891-01-10,12/29/1906,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1457,Belen news.,sn92070450,1/2/1913,12/24/1921,Belen,New Mexico,"34.6627652, -106.7761546",NA
1458,The Black range.,sn87090373,1882-10-06,1897-08-06,Robinson,New Mexico,"35.1547271, -106.5857543",NA
1459,Carlsbad current and New Mexico sun.,sn93061430,1/3/1908,11/13/1908,Carlsbad,New Mexico,"32.4206736, -104.2288375",NA
1460,The Carlsbad current.,sn93061428,11/20/1908,12/29/1922,Carlsbad,New Mexico,"32.4206736, -104.2288375",NA
1461,Carlsbad current.,sn93061429,1899-06-03,4/27/1901,Carlsbad,New Mexico,"32.4206736, -104.2288375",NA
1462,Carrizozo news.,sn86063539,6/12/1908,12/26/1919,Carrizozo,New Mexico,"33.6417408, -105.877212",NA
1463,Carrizozo outlook.,sn94056939,1/15/1915,12/16/1921,Carrizozo,New Mexico,"33.6417408, -105.877212",NA
1464,Los Cerrillos rustler.,sn91052379,1888-11-30,1891-07-17,Cerrillos,New Mexico,"35.4375198, -106.1245907",NA
1465,The chieftain.,sn92070454,1891-11-27,12/28/1901,Socorro,New Mexico,"34.0583995, -106.8914159",NA
1466,The Cimarron citizen.,sn92070542,3/4/1908,9/9/1908,Cimarron,New Mexico,"36.5108691, -104.9158341",NA
1467,The Cimarron news and Cimarron citizen.,sn92070544,1/7/1911,12/31/1914,Cimarron,New Mexico,"36.5108691, -104.9158341",NA
1468,The Cimarron news and press.,sn92070543,1/10/1907,10/24/1907,Cimarron,New Mexico,"36.5108691, -104.9158341",NA
1469,The Clayton citizen.,sn93061569,9/21/1906,12/28/1916,Clayton,New Mexico,"36.451693, -103.1841039",NA
1470,Clayton enterprise.,sn94056928,3/3/1905,9/14/1906,Clayton,New Mexico,"36.451693, -103.1841039",NA
1471,The Clayton news.,sn93061573,1/2/1915,12/15/1922,Clayton,New Mexico,"36.451693, -103.1841039",NA
1472,The Clovis news.,sn93061777,12/21/1911,12/29/1921,Clovis,New Mexico,"34.4047987, -103.2052272",NA
1473,The Columbus courier.,sn92070539,6/30/1911,4/2/1920,Columbus,New Mexico,"31.8276002, -107.6400232",NA
1474,Columbus daily courier.,sn94056836,4/10/1920,7/31/1920,Columbus,New Mexico,"31.8276002, -107.6400232",NA
1475,The Columbus weekly courier.,sn94056837,8/6/1920,12/31/1920,Columbus,New Mexico,"31.8276002, -107.6400232",NA
1476,Daily gazette.,sn93061632,1879-07-31,1880-08-31,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1477,Deming graphic.,sn86063579,3/18/1903,12/27/1921,Deming,New Mexico,"32.2686981, -107.7586404",NA
1478,Deming headlight.,sn83004264,1890-01-04,6/1/1901,Deming,New Mexico,"32.2686981, -107.7586404",NA
1479,The eagle.,sn92070477,1894-08-22,1898-05-14,Silver City,New Mexico,"32.770075, -108.280326",NA
1480,The Eddy current.,sn93061674,1896-01-16,1899-05-27,Eddy,New Mexico,"32.4170622, -104.4723301",NA
1481,Estancia news-herald.,sn94057017,2/2/1912,12/29/1921,Estancia,New Mexico,"34.7583934, -106.0558506",NA
1482,The Estancia news.,sn93061466,10/21/1904,1/26/1912,Estancia,New Mexico,"34.7583934, -106.0558506",NA
1483,The evening current.,sn93061433,4/16/1917,12/14/1918,Carlsbad,New Mexico,"32.4206736, -104.2288375",NA
1484,The evening herald.,sn92070582,1/27/1914,7/11/1922,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1485,El farol.,sn87090070,12/12/1905,11/20/1906,Capitan,New Mexico,"33.5453572, -105.5722043",NA
1486,The Fort Sumner review.,sn94056832,7/17/1909,12/16/1911,Fort Sumner,New Mexico,"34.4717332, -104.2455304",NA
1487,Golden era.,sn92070445,1884-07-17,1886-02-18,Lincoln,New Mexico,"33.4920276, -105.3838716",NA
1488,El Hispano-Americano.,sn93061379,6/3/1916,12/24/1921,Belen,New Mexico,"34.6627652, -106.7761546",NA
1489,El independiente.,sn94056852,1894-03-24,1/30/1913,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1490,The Kenna record.,sn93061371,1/14/1910,11/11/1921,Kenna,New Mexico,"33.8423111, -103.7719053",NA
1491,Las Vegas daily gazette.,sn90051703,1881-06-28,1886-05-02,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1492,Las Vegas daily optic.,sn86063592,1896-03-06,4/29/1907,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1493,Las Vegas free press.,sn96061021,1892-01-02,1892-11-18,East Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1494,The Las Vegas gazette.,sn93061633,1886-05-03,1886-06-06,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1495,Las Vegas gazette.,sn84027457,1872-10-05,1878-12-28,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1496,Las Vegas morning gazette.,sn93061631,1880-09-16,1881-06-26,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1497,Las Vegas optic.,sn92070417,3/19/1909,12/31/1914,East Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1498,The Las Vegas weekly optic and stock grower.,sn92070422,1898-03-05,7/19/1902,Las Vegas,New Mexico,"35.5942137, -105.2227978",NA
1499,The Lincoln County leader.,sn87090072,1882-10-21,1892-12-31,White Oaks,New Mexico,"33.7475738, -105.7363739",NA
1500,The Lovington leader.,sn94005878,4/7/1911,6/8/1917,Lovington,New Mexico,"32.9440077, -103.3485543",NA
1501,The Mesilla Valley independent.,sn87090075,1877-08-04,1879-07-26,Mesilla,New Mexico,"32.2700945, -106.8008376",NA
1502,The morning journal.,sn84020617,1885-01-01,1885-02-28,Albuquerque,New Mexico,"35.0843859, -106.650422",NA
1503,The morning news.,sn92070567,4/4/1911,1/14/1912,Estancia,New Mexico,"34.7583934, -106.0558506",NA
1504,The Mountainair independent.,sn93061704,9/28/1916,12/30/1920,Mountainair,New Mexico,"34.5203411, -106.241127",NA
1505,New Mexico state record.,sn93061701,7/14/1916,12/30/1921,Santa Fe,New Mexico,"35.6869752, -105.937799",NA
1506,Las Nuevas de la Estancia.,sn93061467,10/21/1904,4/3/1908,Estancia,New Mexico,"34.7583934, -106.0558506",NA
1507,El Nuevo mexicano.,sn94056869,1/6/1900,9/28/1922,Santa Fe,New Mexico,"35.6869752, -105.937799",NA
1508,The old Abe eagle.,sn93061407,1891-11-20,1895-07-11,White Oaks,New Mexico,"33.7475738, -105.7363739",NA
1509,Red River prospector.,sn92070553,4/25/1901,8/1/1907,Red River,New Mexico,"36.7080849, -105.4061159",NA
1510,La Revista de Taos and the Taos cresset.,sn93061743,1/21/1905,11/4/1905,Taos,New Mexico,"36.4072485, -105.5730665",NA
1511,La revista de Taos and the Taos Valley news.,sn94056834,1/7/1905,1/14/1905,Taos,New Mexico,"36.4072485, -105.5730665",NA
1512,La revista de Taos.,sn83045398,11/11/1905,10/6/1922,Taos,New Mexico,"36.4072485, -105.5730665",NA
1513,Rio Grande republican.,sn87090080,1888-11-03,1890-12-13,Las Cruces,New Mexico,"32.3199396, -106.7636538",NA
1514,The Roswell daily record.,sn86063823,9/1/1903,6/30/1910,Roswell,New Mexico,"33.3942655, -104.5230242",NA
1515,The rustler.,sn92072386,1891-07-24,1891-12-25,Cerrillos,New Mexico,"35.4375198, -106.1245907",NA
1516,The San Juan County index.,sn92070446,1890-07-24,10/18/1912,Aztec,New Mexico,"36.8222261, -107.9928455",NA
1517,The San Juan times.,sn86063590,1895-07-19,1899-05-26,Farmington,New Mexico,"36.7280583, -108.2186856",NA
1518,Santa Fe daily New Mexican.,sn84020631,1889-01-02,1897-12-31,Santa Fe,New Mexico,"35.6869752, -105.937799",NA
1519,Santa Fe gazette.,sn88071076,1860-07-03,1864-09-17,Santa Fe,New Mexico,"35.6869752, -105.937799",NA
1520,Santa Fe new Mexican.,sn84020630,1898-01-03,12/31/1913,Santa Fe,New Mexico,"35.6869752, -105.937799",NA
1521,Santa Fe weekly gazette.,sn88071075,1855-03-03,1858-12-25,Santa Fe,New Mexico,"35.6869752, -105.937799",NA
